# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
ހިންމި	(2) ދެއެތިގަނޑު ޖެހުނީމާ ޖެހޭތަން އެނގޭން ހުންނަ ރޮނގު
ހިންމިކޭމާ	މިއީ ޤުރްއާން ކިޔަވައިދިނުމުގެ އާދަކާދައިގެތެރޭޭ ހިމެނޭކަމެކެވެ
ހިންމުން	(2) ކައްކަން ގެންގުޅޭ ވިރިކެކޭ ތަކެތީގައި ހެދޭ ލޯވަޅު ބެއްދުން
ހިންމެވުން	(3) އެދޭކަމެއް ޙާޞިލުކޮށް ދެއްވުން
ހިންފެލަ	) ޅިނދުމަތި
ހިންފެލާ	) ޅިނދުމަތި
ހިންފެލެޔާ	) ޅިނދުމަތި
ހިންދަމައިލުން	(4) ހަމަޖެހިލުން
ހިންދިރުވުން	(2) އެއްޗެއްނެތި ދިރުވައިލުމުގެ ބާރު ކަރުތެރެއަށްލުން
ހިންދީން	(3) ބުދަށް އަޅުކަންކުރާ ވަކިމަޛުހަބެއްގެ ބައެއް
ހިންދުން	(3) އެއްޗެއްގެ ބައްޓަމުން އަޑިކުރުން
ހިންދުކަރަ	(3) މައިކަރަ
ހިންދުކޮކާބިބީ	މަހުގެ ދެއަރިމަތީގައި ދެކަތްޕަށް ހުންނަ އަޅިކުލައިގެ ފަނޑު ރޮނގެއް ހުރެއެވެ
ހިންދުދިދަމަސް	މަހުގައި ހުންނަނީ ހުދުކުލައާއި މުށިކުލައެވެ
ހިންދުސްތާން	(1) ހިންދުކަރަ
ހިންދޫ	) ނުވާދުހުން ވާ ބޮޑު
ހިންދޫރަ	(2) ކަޅު ތިމަރައިގެ އަޅި
ހިންދޫރަތިކި	ހިންދީ ދީނުގެމީހުން ނިތްކުރީގައިޖަހާ ހިންދޫރައިގެ ތިކި
ހިންދޫކާރު	(2) ވަރުގަދަމީހާ
ހިންދެމިލުން	ހިންދަމައިލުން
ހިންދޯރި	) ހިންދޫރަ
ހިންތަ	ހިންތާ
ހިންތަހެދުން	ހިންތާހެދުން
ހިންތާ	(4) ކެހި
ހިންތާހެދުން	(4) ކެހިދިނުން
ހިންގަނޑަ	) ކަނދުބުޑު
ހިންގައިލުން	ހިންގުން މިބަސްލުއިކޮށްބުނާގޮތް
ހިންގުން	(4) ހިންގުވުން
ހިންގުންތެރި	(2) ގިނަކަންތައްތަކެއް ފުރިހަމައަށް ކުރިޔަށް ގެންދިއުމުގެ ކުޅަދާނަކަށް ލިބިހުރި
ހިންގުންތެރިން	(2) ގިނަކަންތައްތަކެއް ފުރިހަމައަށް ކުރިޔަށް ގެންދިޔުމުގެ ކުޅަދާނަކަށް ލިބިފައިވާ މީހުން
ހިންގުންތެރިކަން	މިސާލު: އެއީ ވަރަށް ހިންގުންތެރި ވެރިއެކެވެ
ހިންޏަ	ހިނި
ހިންޗި	އިންޗި
ހިރަފުސް	ވެލިގަނޑު ހިކިގެންގޮސް އެއިން އުފެދޭ ހިމުން ފުށް
ހިރަފުސްކުލަ	(2) ހިރަފުހުގައި ހުންނަކުލަ
ހިރަފުސްދެމި	ވައިގެ ބާރުން ހިރަފުސް ދަމައިދޭ އެއްޗެކެވެ
ހިރަގަނޑަ	) ހިރުގަނޑު
ހިރާ	(2) ނިޝާން
ހިރާނޑާ	) ހިރުގަނޑު
ހިރި	) ހިރު
ހިރިހަމައިދި	ކަންގަތި ކޮލީގެ ތެރެއިން ވަކި ކޮއްޔެއްގެ ނަމެއް
ހިރިހަމައިދިކަން	ބޮޑެތި ޢިއްޒަތުގެ ރަސްމިއްޔާތުތައް ފުރިހަމަކުރުމުގެ ގޮތުން ބައިވެރިވުމެވެ
ހިރިހަމާންތި	ހިރިހަމައިދި
ހިރިބައި	) ފޭލީގެ ހުދުހިރު ދެހިރު
ހިރިކަށުނގަ	ވަކިފޫ މިތިންބާވަތަށް އެއްކޮށް ކިޔާގޮތް)
ހިރިކަނދު	) ދަށްބަނޑު
ހިރިކުއްޅަ	ފިޔަތައް ހުންނާނީ ނަރުތަކެއްހެއް ހިމަކޮށެވެ
ހިރިކުލޭ	) ތޫނުސިލޭހަ
ހިރިކޯލަ	(3) ބޮޑެތި ކޯރުފަދަ ތަންތަން
ހިރިއަދަދު	ގެއްލިހުސްވާ އަދަދު
ހިރިއާ	(4) އަރިސް
ހިރިއުކަސް ފުރަދާނަ	) ބޮޑު މުދައުވެރިޔާ
ހިރިއްދަ	) ތެދުއުއި ވަޑާމުގެ މަސައްކަތުގައި އަލަމާރި މޭޒުފަދަ ތަކެތި ޖަހާއިރު ރީތިކުރުމަށްޓަކައި ކައިރިފަށުގައި އަޅާފަތި
ހިރިމަގުލެ	) ހިރިމަގޫ
ހިރިމަގޫ	މީގެ ފަތް ހުންނާނީ ފުސްކުލައިގައި މަގޫފަތުގެ ބައްޓަމުގައި ކުދިކޮށެވެ
ހިރިމި	މިއީ ފަސް އަޑުބަޔާއި ވިހި އަޑުބަޔާ ދެމެދުގެ މިންވަރެއް ގަންނަ އެއްޗެކެވެ
ހިރިމިރިހި	ވިނައިގެ ތެރޭގައި ހިމެނޭ ބާވަތެކެވެ
ހިރިމިކަންނެލި	) ކަންފަތްގަނޑު ކުރު ބޯވައް ކަންނެއްޔެއް
ހިރިފަތި	) އިސް
ހިރިފާޅަ	ފަތްވެސް ހުންނާނީ ކުއްޅަފިލާ ފަތް ހުންނަ ގޮތަށް އެއަށްވުރެ ކުދިކޮށެވެ
ހިރިފިނޮޅި	) ހުނިގޮނޑިފިލާ
ހިރިފޫލަ	) ހިރިކުއްޅަ
ހިރިދަކަނދާ	މިއީ ބަދަބަދައަށް ހުންނަ ފަތްދިގު ވިނައެކެވެ
ހިރިދަތި	) އިސްކު
ހިރިލުން	(2) ވަރަށްކުޑަކޮށް ޙަރަކާތްކޮށްލުން
ހިރިގަނޑަ	) ހިރުގަނޑު
ހިރިގަނޑޮ	) ހިރުގަނޑު
ހިރިގައު	ހިރިގަލުގައި ބިންވަޅުނަގައި ކުރެހުމަކީ ދިވެހީންގެ ވަރަށް ޚާއްޞަ ފަންނީ މަސައްކަތެކެވެ
ހިރިގާ	ހިރިގައު
ހިރިޔާ	(4) އަރިސް
ހިރިޔާމާލަން	ވައިގެބަނދަރާއި ޖަލްސާކުރާ މާލަންފަދަ ތަންތަނުގައި ޚާއްޞަ ބޭބޭފުޅުންނަށް ކަނޑައަޅައިފައި ހުންނަ އިންތިޒާރު ކޮޓަރި
ހިރިޔާފާތުރާ	) ރަދުންގެ މާތް އަރިސް
ހިރިޔާސުއްދަ	) ރަދުންގެ މާތް ދޫފުޅު
ހިރު	(3) ބޯވަޅުގައި ހަރުކުރާން ކަސަބުން ނުވަތަ ބަރަނިން ހަނިކޮށް ފަތިކޮށް ގަތާ ފަށް
ހިރުނދު	މިއީ އޮޑިދޯނި ފަހަރު ބަނުމަށާއި ފަރުނީޗަރު ޖެހުމަށް ބޭނުންކުރާ ކީލި ހިމުން ލަކުޑިއެކެވެ
ހިރުނދުކޮކާ	) ހިރުނދު ދޫނި
ހިރުނދުއުކުނު	(2) ކުދި ހިރުނދު ދޫނި
ހިރުނދުދޫނި	ފައިގެމަތީ ބަޔާއި ފިޔަހުންނާނީ ރަތްރީނދޫ ކުލައިގައެވެ
ހިރުނދުލަކުޑި	ހިރު ދުގަހުގެ ލަކުޑި
ހިރުނދުގޮވި	(2) ހިރުނދުދޫނި
ހިރުން	މަޑުމަޑުން ހެލިލުން
ހިރުބައި	ހިރުހުންނަ އެއްޗެހީގެ ހިރުތައް
ހިރުބޮލި	(2) ކަސަބުބޯ ވަޅުގައި ކާއްތާ އޮމާންކޮށް އޮފުއެރުވުމަށް ބޭނުންކުރާ ދޮންކުލައިގެ ބޮއްޔެއް
ހިރުކެނޑި	އެލާޖަހާ އެތީގައި ރޮނގުޖަހާން ގެންގުޅޭ ކުރެދިކަށި
ހިރުކޭތަލަ	(2) އިރުކޭތަލަ
ހިރުއެރުން	ދަތުގެ ހިރުގަނޑުން އުނިވާތަން އާވެ އިތުރުވުން
ހިރުއެޅުން	އެއްޗެހީގައި ހިއްޕުން
ހިރުއްދަ	ދިވެހިގޭގޭގައި ހުންނަ އެނދުބައިލީދޮރުގެ އެނދުބައިގެ ތިރިޔާއި މަތީގައިކުދިކުދި އެއްޗެހި ބެހެއްޓޭނޭހެން ހުންނަތަން
ހިރުއްދަފިލާ	މިފިލާ ހުންނަނީ އިހުގެ ގޭގޭގައެވެ
ހިރުއްދާ	) ރަސްގެފާނު
ހިރުވުން	(4) މަޖާޒު: ޝަހްވާނީ އެދުން އުފެދުން
ހިރުމަހުރަ	މަސްދޯނިފަހަރުގެ ދެއިހިގަނޑު ދެމެދުގައި ނުވަތަ އިންނަފަތާއި އިހިގަނޑާ ދެމެދު ވަނާ ކަނޑައިގެން ހަރުކުރާ ފިލާގަނޑު
ހިރުމާ	މީގެ ދެމެދުގައި ޗޮކްލެޓް ކުލައިގެ ތިއްކެއް ހުންނާނެއެވެ
ހިރުމާރު	(2) ހިރުއްދަފިލާ
ހިރުމާޖެހުން	މިބަލިޖެހުމުން ހިރުގަނޑުގައި ބިހިތަކެއް ނަގައިފައި އެބިހިތައް ދޮސްގަންނަނީއެވެ
ހިރުމޮއި	) މޯހިރު
ހިރުފާރު	ދަތުގެ ހިރުގަނޑުގައި އުފެދޭ ފާރު
ހިރުފިލާ	ހިރުމަހުރަ
ހިރުދެމުން	އެއްޗެހި ޒީނަތްތެރިކުރުމުގައި ނުވަތަ ކުރެހުމުގައި ބޮޑުކޮށް ފައުޅުކޮށް ހުންނަ ކޮންމެ ކުލައެއް ނުވަތަ ރޮނގެއްގެ ކައިރީގައި އެހެން ކުލަ އަކުން ހިމަރޮނގު ދެމުން
ހިރުގަނޑު	ދަތުގެހިރު
ހިރުގިރުން	ބައްޔެއްގެ ސަބަބުން ހިރުގަނޑު އުނިވެގެން ދިއުން
ހިރެ	) ހިރު
ހިބަ	މި ގިނައިން އުޅެނީ ކުނިގޮނޑުގެ ތެރޭގައެވެ
ހިބަހިކާ	މިއީ ވަރަށް ވިހަގަދަ އެއްޗެކެވެ
ހިބަން	(އ
ހިބަންމަސް	(2) ފަސްގަނޑުގައި އުޅޭ ވަޅުޖަހާ މަހެއް
ހިބަރު	މަތީތުން ދިގުކޮށް ހުރުމެވެ
ހިބަރުނަނު	ހިބަރު ބޭނުމަށް މަސްވެރިން ބޭނުންކުރާ ނަނު
ހިބަރުތޮޅި	ހިބަރާ ސިފަވައްތަރު ތޮޅިއެއް މިއީ ފަރުތޮޅީގެ ބާވަތެކެވެ
ހިބަބޮލާ	) ފުށްކިބަ
ހިބަޅު ލަނޑާ	) ނަގުލުގެ މަތީފަރާތްދިގު ނޫކުލައިގެ ފަތިލަނޑައެއް
ހިބަކޮށްދިނުން	ތިމާގެ މިލްކުގައިވާ އެއްޗެއް ތިމާގެ މިލްކުން ކަނޑައި ހަމަހިލޭ އަނެކަކަށް ދިނުން
ހިބައިންދިނުން	ހިބަކޮށްދިނުން
ހިބަމަސް	ނ
ހިބަފަތް	ހިބައެއްގެ މައްޗަށްދޭ ޝަރުޢީ ލިޔުން
ހިބޮށި	) ލޮނާއި ހަކުރުއަޅާން ބޭނުންކުރާ ޅަކުރުނބާގެ ނާށި
ހިބޮޅު	ހިކާ ފާޑުގެ ކުޑަމަހެކެވެ
ހިބޮއް	) ހިބަރުމަސް
ހިޅި	) ކުކުޅު ހާލުގެ ކެޔޮފޮތި
ހިޅިގަޑޮ	) ކުކުޅުހާލުގެ ކެޔޮފޮތި
ހިޅު	(2) ހުޅަތް
ހިޅުމަސް	) ހިނގަމަސް
ހިކަ	މިކުޅިވަރު މޫދުގަވެސް އެއްގަމުގައިވެސް ކިތަންމެ ގޮތަކަށް ކުޅެއެވެ
ހިކަނދަފަތް	) ހިކަނދިފަތް
ހިކަނދަތުންމިއަރަ	) ހިކަނދިތުންމިޔަރު
ހިކަނދާ	) ހިކަނދި
ހިކަނދި	(2) ބައެއް މަސްމަހުގެ ބަނޑުތެރޭ އޮންނަ އެއްޗެއް
ހިކަނދިއެރުވުން	މުލައްދަނޑީގައި އޮންނަ ހިކަނދިމަސްގަނޑު އުފުލޭނެގޮތް ހެދުން
ހިކަނދިވަކަރު	(1) މެއްލަޖަހައިގެން އަޅާގޭގޭގެ ބޮޑުއަށީ ބިތްދޮށުގައި މެއްލަތަކަށް ކަނޑައިފައި އަޅާފަތިވަކަރު (2) ގެދޮރު އެޅުމުގައި މެއްލަ ޖެހުމަށްޓަކައި ގާފޮޅުމަތީ ބާއްވައިފައި އޮންނަ ފަތިވަކަރު
ހިކަނދިމަސްގަނޑު	(2) މީދާމަސްގަނޑު
ހިކަނދިމިޔަރު	) ހިކަނދިތުންމިޔަރު
ހިކަނދިމީދަލުގެވެސް އަބުރެއް އޮންނާނެ	(މިސާލުބަހެއް) އެންމެދެރަ މީހާގެވެސް އަބުރެއް އޮންނާނެއޭ ބުނުމަށް ބުނެއުޅޭބަހެއް
ހިކަނދިފަތް	ރިހައާއި އަސާރައާއި ސަޓަނިފަދަ ތަކެތި މީރުކުރާން އަޅާފަތެއް
ހިކަނދިފޭލި	މިފޭލީގެ ކުލައަކީ އަޅިކުލައެވެ
ހިކަނދިތުންމިޔަރު	ތުންތޫނުކޮށް ހުންނަ ވޮށިމަސް މިޔަރު
ހިކަނދިގަސް	(2) ރިހަގަސް
ހިކަނދު	) އަތުގެ މީދާމަސްގަނޑު
ހިކަނދުބަނޑޮ	) މަހަށްގޮސް ތިބޭއިރު ކުރުމަހަށްކިޔާ ވަނަމެއް
ހިކަނދެގެނހެ	) ހިކަނދިގަސް
ހިކަނދޮ	) ހިކަނދި
ހިކަނދޮމަތި	) އަތުގެ މީދާ މަސްގަނޑު
ހިކަންދާ	) ހިކަނދި
ހިކަރި	(2) އޮށްވަޅު ކުޅޭއިރު އެއްފަރާތުގެ ހުރިހާ ވަޅެއް ކަނުވާ ކަނުވުން
ހިކަރިކުރުން	ފެންޖަހައި ތެންމައި ފޯކުރުން
ހިކަރިވުން	(2) އޮށްވަޅު ކުޅޭއިރު ކުޅުންތެރިޔަކަށް ވަޅަކަށް ލާންޖެހޭ ވަރަށް ފުއް ނުލިބި ބަލިވުން
ހިކަކިއުން	ހިކަކުޅުން
ހިކަކުޅުން	ހިކަ ކިޔާ ކުޅިވަރު ކުޅުން
ހިކަދެއު	) ފަޅުމަތީން އެންދަމަން ގެންގުޅޭދައު
ހިކަދޮތުންމޭރެ	) ހިކަނދިތުންމިޔަރު
ހިކާ	ތިން އިންޗިއެވެ
ހިކާކަލޯލަވަ	ދަންބެރުގެ އަށްވަނަލަވަ
ހިކާދުރުކުރި	(3) ހިތުގައި އަގުނެތް މީހުންނަށް ދީއުޅޭ ކާބޯއެތިކޮޅު
ހިކި	(ނ) ހިކިމީހާ
ހިކިހިތްވަރު	ކުއްލިކުއްލިއަށް އަންނަ ރުޅި
ހިކިހިތްވަރު އެރުން	ކުއްލިއަކަށް އަންނަ ގަދަ ރުޅިގަނޑެއް އައުން
ހިކިހުތް	މިހުންނާނީ ހިމުންލޮނާ އެއްގޮތަށެވެ
ހިކިރިހަ	ދިޔަނުހުންނަ ގޮތަށް ހިކިކޮށް ކައްކާ ރިހަ
ހިކިރޯ	މިބައްޔަކީ ކަށިމަތީގައި ހެދޭ ފަސޭހަނުވެ ގިނަދުވަހު ހުންނަ ފާރެކެވެ
ހިކިބައްޑާއެޅުން	) ހިކިއެޅުން
ހިކިބަލި	އަދި "ކާޑުބަލި" ހިމެނެއެވެ
ހިކިބިންނެގުން	) ހިކިއެޅުން
ހިކިބިލަމަގު	(1) ހިކިފައިހުންނަ ބިލަމަގު
ހިކިބުންދު	އޮޑި ދޯނިފަހަރުގެ ކުނބުވަތުގެ ދެފަރާތް
ހިކިބޮނދެ	) ބޮޑުހިކަޔާ ވައްތަރު ލަނޑައެއް
ހިކިކަށި	ކަށިތައް އެނގޭ ވަރަށް ވެފައިވާ އަނަރޫފަ
ހިކިކަށިކަން	އަނަރޫފަކަން
ހިކިކަން	(2) ހިކިފައިވާކަން
ހިކިކައިށި	) ހިކިކާށި
ހިކިކަޑިގޮވުން	) ހިކިއެޅުން
ހިކިކާށި	ރަނގަޅަށް ބޮނބި ހިކިފައި ހުންނަކާށި
ހިކިކުރޮޅިވުން	(2) މަޖާޒު: އެއްގޮތަކަށްވެސް ތެތްކަމެއްނެތުން
ހިކިކެއްސުން	މިއީ ކަރުތެރެއިން އެއްޗެއްނައިސް ކެއްސާކެއްސުމެކެވެ
ހިކިއަނަރޫފަވުން	(2) ހިކިގެންގޮސް ރޫފަގެއްލުން
ހިކިއަމުރު	(2) ނުހިނގާ އަމުރު
ހިކިއަމުރުކުރުން	(2) ނުހިނގާ އަމުރު ކުރުން
ހިކިއަތަރު	ކޮންމެވެސް އެއްޗެއް އަޅައިގެން އޮލަކޮށްފައި ހުންނަ އަތަރު
ހިކިއިނގުރު	(2) ތިރިކަށުނގައިގެ އެއްބާވަތް
ހިކިއެޅުން	(2) ފަރުމަތި އެކީގައި ހިކުން
ހިކިވިނަ	ހަޝިޝް
ހިކިމަސް	ގަނޑަށް ކަނޑައިގެން ކައްކައި ހިއްކައިފައި ހުންނަމަސް
ހިކިމިރުސް	(2) ދަނޑުމިރުސް
ހިކިމޭބިސްކަދުރު	ހިއްކައިފައި ހުންނަ މޭބިސްކަދުރު
ހިކިމޭވާ	ހިއްކައިފައި ހުންނަ މޭވާއާއި ބާވަތްބާވަތުގެ ބަދަން
ހިކިފަންފުޅަނގި	މިއީ ހިކިފަންކުލައިގައި ހުންނަ އެއްޗެކެވެ
ހިކިފަސްތަނެއްޖެހުން	(1) އެއްގަމެއް އަތުވުން (2) ރަށަކަށް ފޯރުން
ހިކިފަސްތަން	(2) ރަށް
ހިކިފަސްތާބަކަތެޅުން	މަޖާޒު: ނަތީޖާއެއްނެތް ބޭކާރު މަސައްކަތް ކުރުން
ހިކިފިންދަނޑި	ހަށިގަނޑާ އަޅާބަލާއިރު ފިނދުމަސްގަނޑު މާބޮޑަށް ހިކިފައިވާ އަނަރޫފަ މީހާ
ހިކިދަހަނގުވުން	ގަސްގަހާގެއްސާއި ދަނޑުފަނގު މާބޮޑަށް ހިކުން
ހިކިދަރުމަސް	މުޅިން ހިކި ހަރުވެފައިވާ ކަނޑުމަސް
ހިކިދަގަނޑު	އެއްޗެއް ހިކިގެން އެންމެބޮޑަށް ވާހަރު
ހިކިދަގަނޑުވުން	މަސްފަދަތަކެތި ބޮޑަށް ހިކިހަރުވުން
ހިކިދޮވުން	ފެނުގެ ބޭނުންނުކޮށް ކެމިކަލް ބޭނުންކޮށްގެން ފޭރާން ފަދަތަކެތި ސާފުކުރުން
ހިކިތަރައެޑުން	) ހިކިއެޅުން
ހިކިތަވާގައިލުން	ހުސްތަވާގައި ކުޑަކޮށް ހޫނުކޮށްލުން
ހިކީތަރައެޑުން	) ހިކިއެޅުން
ހިކުން	(4) ދިޔަވަރު ކުޑަވުން
ހިއަ	(4) ހިތް
ހިއަހެމި	) ހެއު އަންހެނާ
ހިއަނި	ހިޔަނި
ހިއަނިގައު	ނ
ހިއަރި	ކަނބުރުންގެ ބޮޑުމުށި
ހިއަރިންޖެހުން	މ
ހިއަޅު	ހިޔަޅު
ހިއަމަ	ހިޔަމަ
ހިއަމަކުކުޅު	އިދިކުކުޅު
ހިއަމިތުރު	) ހެޔޮލަފާ އަންހެނާ
ހިއަމެދު	) ހިތް
ހިއަދެވިކަމަނާބޯ	މިއީ މުލުގައި މީރުވަސްދުވާ ވިނައެކެވެ
ހިއަތޮނަ	ނ
ހިއާ	ނ
ހިއާވަހި	ހިޔާވަހި
ހިއާވަހިކަން	ހިޔާވަހިކަން
ހިއްކަށް ދިނުން	މަޖާޒު: ކާންދިނުމުގެ ބަދަލުގައި ފައިސާދިނުން
ހިއްކިބަތް	ހިއްކައިފައި ހުންނަބަތް
ހިއްކިބިލިމަގު	ގިނައިން މިހިއްކަނީ ލޮނުއަޅައިގެން ފޮނު ފޮޅުވައިފައެވެ
ހިއްކިކަނޑޫ	ހިއްކައިފައި ހުންނަ ކަނޑޫ
ހިއްކިކެޔޮ	ހިއްކައިފައި ހުންނަ ބަބުކެޔޮ
ހިއްކުން	(4) ހަށިގަނޑުގެ ފަލަ ކަންކެނޑުވުން
ހިއްމަތް	ހިންމަތް
ހިއްމަތްކުރުން	ހިންމަތްކުރުން
ހިއްމަލާރޭ	) ދަތުރެއްގެ ފެށުމަށް ގަސްދުކުރާ އެއްމެފަހުރޭ
ހިއްމަލާދުވަސް	) ދަތުރެއްގެ ފެށުމަށް ގަސްދުކުރާ އެންމެ ފަހުދުވަސް
ހިއްފަސޭހަކަން	(4) ހިތްއަލިކަން
ހިއްތަނބެ	) ހިއްތަން
ހިއްތަން	އޮންނާނީ ބޮޑުކޮށް ސަނދަރަބޮއްޔެއްހެނެވެ
ހިއްތަން ދޮރާށި	ނ
ހިއްތަންވެން	(2) ކިރުޅިއަވެން
ހިއްތަލަ	މިއެންމެ ވައްތަރުވާނީ ވިލާތު އަލުއްވާއެވެ
ހިއްތަލަ އަވެލި	މިހުންނާނީ އަވެލި ވައްތަރަށެވެ
ހިއްތަލަ މަތިވައް	) ކަނބޯ
ހިއްތަލަ ފިށި	) ހިއްތަލައިން އުފައްދާ ފުށް
ހިއްތަލަބަތް	ހިއްތަލަ ފުށަށް ކާށި ހުނިލައިގެން ފިހާތުނި ފަތަފޮޅިއެއް
ހިއްތަލަފިށިދޯރާ	(ސ
ހިއްތުން	(4) ހިތުގައި ޖެއްސުން
ހިއްލައިލުން	(2) ވޮލީކުޅޭއިރު ޝޮޓްޖެހުމަށްޓަކައި ބޯޅަ އުފުލައިލުން
ހިއްލުން	(7) މަޖާޒު: ކޮޅުވުން
ހިއްސާދާރު	މުދަލުގެ ނުވަތަ ފައިސާގެ ނުވަތަ އެނޫންވެސް އެއްޗެއް ނުވަތަ ކަމެއްގެ ބައިވެރިޔާ
ހިއްޕަބޯ	) ދޮންހުއިފިލަނޑާ
ހިއްޕާއައިނު	ދުނިނެތް އައިނު
ހިއްޕާމަހަ	) އައްޓަމަސް
ހިއްޕާދަތި	އެއްޗެއް ނުގުޑާގޮތަށް ހިފެހެއްޓުން ފަދަ ކަންކަމަށް ބޭނުންކުރާ އެއްޗެކެވެ
ހިއްޕި	މިބަހުގެ ނިމިނިމުނުކަން
ހިއްޕީން	(މިމީހުން އާންމު ގޮތެއްގައި މަސްތުވާ ތަކެތި ބޭނުންކުރެއެވެ
ހިއްޕުން	(4) އަނެކަކު އެއްޗެއްގައި ހިފާނޭގޮތް ހެދުން
ހިއްޗަށްވަޑައިގަތުން	82 މިދުވަސް ދުވަހު ހަވީރު ނުވަތަ މިދުވަސް ދުވަހާއި ވިދިގެން އަންނަ ރޭރޭ ކުރާރަސްމީ ކަންތައް އަދާ ކުރެއްވުމަށް ރަދުން ނުވަތަ ހަތްކޮޅު ނަގާ ބޭފުޅުން އެދުވަހަށް ޚާއްޞަ ވެގެންވާ ޒިޔާރަތެއްގެ ދޮށަށް ރަސްމީގޮތުގައި ވަޑައިގަތުން
ހިއްޗަށްދިއުން	) ބަޔަކުމީހުން ކާއެއްޗެހި ހަދައިގެން އަތިރިމައްޗަށް ރޯދަވީއްލާން ދިއުން
ހިއްޗަށްގެއުން	) ހިއްޗަށްދިއުން
ހިއްޗިގޮނު	) ރޯދަމަހު އިރުއޮއްސޭ ވަގުތަށް ރޯދަވީއްލަން އަތިރިމައްޗަށް ގެންދާން ކާތަކެތި އަޅަން ފަނުން ވިޔެފައި ހުންނަގޮނު
ހިވަޅަ	) ހިޔަޅު
ހިވި	) އަގު
ހިވިކަނދު	) ދަށްބަނޑު
ހިވިކައި	) ހަށި
ހިވިއަގު	) ލޯލި
ހިވިގެ	(2) ފޭލިގެ
ހިމަ	(3) ފަލަމިނުންއުނި
ހިމަހޯއްދުން	) (2) ލޫޅާފަތި
ހިމަނައިލުން	(3) ބައިވެރިކޮށްލުން
ހިމަނަގުލާމަސް	މިއީ ހަނދިމަހުގެ ބާވަތެކެވެ
ހިމަނަގޫމަޑި	) ނަރުނަގޫމަޑި
ހިމަރޯނު	ރޯނުގެތެރޭ ގެންގުޅޭ ހިމަބާވަތް
ހިމަބިހި	މިބަލި ގިނައިން ޖެހެނީ ކުޑަކުދީންނަށެވެ
ހިމަބިހިއެޅުން	ހިމަބިހި ޖެހުން
ހިމަބިހިޖެހުން	ހިމަބިހި އެޅުން
ހިމަބޯދު	މަހުގެ ތުނބުން ފެށިގެން ލޯހުރަސްކޮށް މަހުގެ ކަރުތާފަތްގަނޑުގެ ކޮޅަށް ގަދަމުށި ކުލައިގެ ރޮނގެއް ދެމިފައި ހުރެއެވެ
ހިމަކަން	(3) މަޖާޒު: ދެރަކަން
ހިމަކުރުން	(3) މަޖާޒު: ދެރަކުރުން
ހިމަވުން	(3) މަޖާޒު: ދެރަވުން
ހިމަފުށް	(1) އޮލަފުށް (2) ހިއްތަލަފުށް ހަދާއިރު އެންމެ ހިމުންކޮށް ނަގާބައި
ހިމަފޮދުވާރޭ	ތުނިކޮށް ވެހޭވާރޭ
ހިމަދޮނާ	ރަތްކުލައިގެ އެމެއް
ހިމަތޮޅި	ހެދިހުރި ހަށިގަނޑު ހިމަ
ހިމަތޮޅިކަން	ހެދިހުރި ހަށިގަނޑުގެ ހިމަކަން
ހިމަތޮޅިވުން	ހެދިހުރި ހަށިގަނޑު ހިމަވުން
ހިމަގޮހޮރު	އިންސާނުންނާއި ޙައިވާނުންގެ ބަނޑު ތެރޭގައި ސަނގަލާ ޖެހިފައި އޮންނަ ގޮހޮރު
ހިމަގޮދަން	މިއީ މަޝްހޫރު ގޮވާމެކެވެ
ހިމާރަށްގޮވުން	(2) އިންސާނަކާ ދިމާއަށް ހިމާރެކޭ ބުނުން
ހިމާރިޔަން	(2) ގަލްބުގެ ދެކުނު މިޞްރާބު
ހިމާރު	މިއީ އެންމެ ގަބު އެންމެ އަޑުހުތުރު ޖަނަވާރެވެ
ހިމާރުކުލުނު	(2) މަޖާޒު: ކަމެއްގެ އެދެމުގައި މީހަކަށް ހެޔޮކޮށް ހިތަހިތައި ހުރެފައި އެކަމެއް ފުދުމުން އެމީހަކަށް އިހާނެތިކޮށް ހިތާ ހިތުން
ހިމިނި	) ހިމުން
ހިމީން	) ހިމުން
ހިމުން	މިސާލު: އޭނާކުރާ ކަންތައް އަހަންނަށް ވަރަށް ހިމެއެވެ
ހިމުންކަން	(2) ދެގަނޑެއްޗެއް ޖެހިފައި ހުންނަލެއް ގާތްކަން
ހިމުންކުރުން	(3) ދެގަނޑެއްޗެއް ގާތްކޮށް ޖެއްސުން
ހިމުންވުން	(4) ހިންމިގާތްވުން
ހިމުންފުށް	(2) އޮލަފުށް
ހިމެނުން	މިސާލު: އެވަފުދުގައި އިތުރު މެންބަރަކު ހިމަނަން ޖެހެއެވެ
ހިމެރި	ގިނަބާވަތުގެ ތޮޅިޔަކީ ކާން ރަނގަޅު އެއްޗެކެވެ
ހިމެރިތޮޅި	ނ
ހިމެރު	) ހަތްދިހަ
ހިމޭނުން	(3) ހިމޭންކަމުގައި
ހިމޭން	(2) އަޑުބަޑުމަޑު
ހިމޭންރަނގަބީލު	ސްކޫލްތަކުގައި ވަކި ވަގުތު ކޮޅަކަށް ކުދީން ހިމޭންކުރުވުމަށް ޖަހާ ރަނގަބީލު
ހިމޭންކަން	(2) އަޑުބަޑުމަޑުކަން
ހިމޭންކުރުން	(2) އަޑުބަޑު މަޑުކުރުން
ހިމޭންވުން	(2) އަޑުބަޑު މަޑުވުން
